name,ID,area,X,Y
KIRCHEN-HAUSEN,105,773,4222262,2757737
HUNDERSINGEN,120,2620,4275981,2773404
BERG,125,4046,4301055,2794803
ACHSTETTEN,129,276.6,4313617,2794438
LAUBE,144,312.9,4323802,2751437
BLAUBEUREN,145,153.2,4304975,2811435
BEURON,168,1310,4244518,2771558
BAD MERGENTHEIM,212,1020,4304183,2931775
HARDHEIM,226,104.8,4281215,2945091
HORB NECKAR,411,1107,4225230,2815585
ALTENSTEIG,416,135.3,4218424,2831134
RIEDERICH,422,169,4266862,2827836
SCHORNDORF,431,419.8,4285545,2854668
OPPENWEILER,436,178.9,4281947,2875342
BAD IMNAU,462,332.7,4229953,2811101
DOERZBACH,477,1027,4300489,2917256
UNTERSCHMEIEN,1120,143,4257641,2775708
HAMMEREISENBACH,1139,164.5,4198029,2765399
NIEDERKIRC,1144,410.4,4308488,2791716
FRIDINGE,1156,132.9,4242151,2769611
BAD ROTENFELS,1301,469.6,4195899,2857609
SUESSEN,1409,359.1,4302790,2840873
SCHWABSBERG,1411,168.7,4331197,2868811
WIESLOCH,2337,115.1,4224916,2909650
ETTLINGEN,3301,148.8,4203650,2871669
MOSBACH,4421,156.8,4257699,2915122
PFORZHEIM ENZ,4422,1472,4227909,2865716
PFORZHEIM WUER,36056,416.9,4226369,2862767
TAUBERBISCHOFSHEIM,44602,1591,4296831,2945991
UNLINGEN,47840,155.2,4285202,2783837
BERGHAUSEN,60682,232.1,4212372,2878317
BAD BRAMSTEDT SCHMALFELDE,114116,256.4,4313811,3422470
WILLENSCHAREN,114135,596.5,4308328,3433696
MEININGEN,420020,1166,4350421,3051464
VACHA,420120,2242,4324359,3080274
GERSTUNGEN,420170,2960,4326011,3094452
FRANKENRODA,420190,4211,4340196,3109499
RAPPELSDORF,421510,251.6,4372445,3042979
ELLINGSHAUSEN,422000,321.6,4354716,3048301
SCHWARZA,422300,150.8,4358233,3055857
MITTELSCHMALKALDEN,424000,154.1,4348907,3067443
DORNDORF 2,426000,212.8,4326722,3079022
UNTERBREIZBACH-RAESA,427010,402.6,4319358,3077272
EISENACH-PETERSBER,429010,327.9,4345153,3095993
EISENACH-NESSEMUEHLE,429600,402.2,4345539,3096487
WEFERLINGEN,440010,231.5,4393025,3245521
BUEHNE-HOPPENSTEDT,444210,166.7,4365815,3209642
ARENSHAUSEN,447000,272.2,4318923,3140869
PORSCHDORF 1,550190,165.5,4611378,3100482
ELBERSDORF,550810,236.3,4601069,3108850
DOHN,550940,172.6,4591650,3100738
MERZDOR,552210,209.2,4547714,3138830
GROSSDITTMANNSDO,554520,284.2,4584590,3127611
GOLZERN 1,560021,4925,4514834,3130554
BAD DUEBEN 1,560051,259.4,4513108,3056485
ZWICKAU-POELBITZ,562070,931.9,4497008,3072911
WECHSELBURG 1,562115,1995,4515560,3103202
AUE 1,563790,5658,4499797,3167639
GOERITZHAIN,564410,527.9,4516188,3100328
